name,city,address,lat,lon,video_url,embed_url
Chợ bách hóa Cà Mau,Ca Mau Province,"Đ. Số 6B, Phường 7, Cà Mau, Việt Nam",9.176544146,105.1471819,https://www.tiktok.com/@quankhonggo/video/7266662389343440135,https://www.tiktok.com/embed/7266662389343440135
Cơm Ba Sâm,Ca Mau Province,"Hai Tháng Chín, TT. Cái Nước, Cái Nước, Cà Mau, Việt Nam",8.940592339,105.0166467,https://www.tiktok.com/@truong_phi_thien/video/7288522492816248065,https://www.tiktok.com/embed/7288522492816248065
Tiệm sữa chua Bếp Nhà Bông,Ca Mau Province,"64 Ngô Quyền, Phường 2, Cà Mau, Việt Nam",9.180734102,105.1447785,https://www.tiktok.com/@berongcamau69/video/7524185380523101448,https://www.tiktok.com/embed/7524185380523101448
Tiệm Bánh Của Mẹ,Ca Mau Province,"78 Đường Phan Đình Phùng, Phường 2, Cà Mau, 94000, Việt Nam",9.181658041,105.1473886,https://www.tiktok.com/@berongcamau69/video/7421765602307788050,https://www.tiktok.com/embed/7421765602307788050
Bánh Tầm Cay A Xi Giá,Ca Mau Province,"17 Lý Bôn, Phường 4, Cà Mau, Việt Nam",9.183797927,105.1496158,https://www.tiktok.com/@quangocamau/photo/7537714972047068424,https://www.tiktok.com/embed/7537714972047068424
Đá Đậu Ông Dú,Ca Mau Province,"2 Lê Lợi, Phường 2, Cà Mau, Việt Nam",9.177452707,105.1461614,https://www.tiktok.com/@baduongvlog69.com/video/7363845207223192840,https://www.tiktok.com/embed/7363845207223192840
Quà Lưu Niệm Hoàng Vũ,Ca Mau Province,"18 Nguyễn Tất Thành, Lý Văn Lâm, Cà Mau, Việt Nam",9.1578549,105.1405886,https://www.tiktok.com/@heogiaushop/video/7524236456865434898,https://www.tiktok.com/embed/7524236456865434898
Chợ Nhà Phấn,Ca Mau Province,"QL1A Ấp Sở, Tại, xã, Cái Nước, Cà Mau 98615, Việt Nam",9.111218053,105.1003641,https://www.tiktok.com/@truong_phi_thien/video/7248407587819916549,https://www.tiktok.com/embed/7248407587819916549
Chợ phường 4,Ca Mau Province,"Pham Van Ky, Phường 5, Cà Mau, Việt Nam",9.181225162,105.1494243,https://www.tiktok.com/@muoidatmui.camau/video/7395538980034448658,https://www.tiktok.com/embed/7395538980034448658
Bún thịt xào nem nướng Băng Tâm,Bac Lieu Province,"516 Võ Thị Sáu, Phường 3, Bạc Liêu, Việt Nam",9.284301195,105.7214887,https://www.tiktok.com/@sayhihuy/video/7460477397159218440,https://www.tiktok.com/embed/7460477397159218440
Cà Ri Vịt Cầu Số 4,Bac Lieu Province,"114 Hòa Bình, Phường 7, Bạc Liêu, Việt Nam",9.288788121,105.7240178,https://www.tiktok.com/@thodianne/video/7398877688494099730,https://www.tiktok.com/embed/7398877688494099730
Vincom Plaza,Bac Lieu Province,"15 Trần Phú, Phường 3, Bạc Liêu, 990000, Việt Nam",9.286857304,105.7215873,https://www.tiktok.com/@anhnhutbs/video/7434170274507001096,https://www.tiktok.com/embed/7434170274507001096
Chợ Bạc Liêu,Bac Lieu Province,"Kios số 10-11, Cửa Nam chợ, 51 Hoàng Văn Thụ, Phường 3, Bạc Liêu, Việt Nam",9.285759209,105.725912,https://www.tiktok.com/@quankhonggo/video/7268136151544810757,https://www.tiktok.com/embed/7268136151544810757
Bùn Bò Cay Ánh Nguyệt,Bac Lieu Province,"119 Cao Văn Lầu, Phường 5, Bạc Liêu, Việt Nam",9.280571203,105.7272278,https://www.tiktok.com/@loanhquanhmientay/video/7443300237717916946,https://www.tiktok.com/embed/7443300237717916946
Bánh Xèo A Mật,Bac Lieu Province,"173/2 Ấp Giồng Nhãn, Hiệp Thành, Bạc Liêu, Việt Nam",9.235828926,105.7508104,https://www.tiktok.com/@mongo99/video/7482619357667921160,https://www.tiktok.com/embed/7482619357667921160
Chợ Rạch Giá,Kien Giang Province,"08 Lý Thái Tổ, Vĩnh Thanh, Rạch Giá, Kiên Giang, Việt Nam",10.01790166,105.0811078,https://www.tiktok.com/@quankhonggo/video/7561294668760091912,https://www.tiktok.com/embed/7561294668760091912
Chợ Bách Hóa Giồng Riềng,Kien Giang Province,"256 Đường Lê Lợi, Nội Ô, Giồng Riềng, Kiên Giang, Việt Nam",9.907978421,105.3135038,https://www.tiktok.com/@kiengiangcogihay/video/7494505876296879367,https://www.tiktok.com/embed/7494505876296879367
Chợ Sao Mai Tân hiệp,Kien Giang Province,"TT. Tân Hiệp, Tân Hịêp, Kiên Giang, Việt Nam",10.11761704,105.2899079,https://www.tiktok.com/@imphuong01/video/7429547213950422289,https://www.tiktok.com/embed/7429547213950422289
